Date,Name,Year,Letterboxd URI,Rating
2022-09-22,"Confess, Fletch",2022,https://boxd.it/ra9K,3
2022-09-29,Blonde,2022,https://boxd.it/9AG0,1
2022-10-24,Edward Scissorhands,1990,https://boxd.it/2aZc,4
2022-10-25,Frankenweenie,1984,https://boxd.it/1eFy,3.5
2022-10-25,The Watcher,2022,https://boxd.it/Daja,0.5
2022-10-28,Bullet Train,2022,https://boxd.it/qW26,4
2022-11-07,Weird: The Al Yankovic Story,2022,https://boxd.it/yYZA,3.5
2022-11-14,Zen - Grogu and Dust Bunnies,2022,https://boxd.it/Dwka,2
2022-11-18,A Christmas Story Christmas,2022,https://boxd.it/z1Rk,3
2022-11-21,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3
2022-11-25,WALL·E,2008,https://boxd.it/1VEo,3.5
